DB00114,1051,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,1051,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
DB00115,5311498,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],70678590,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co]
DB00116,91443,C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,91443,C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
DB00117,6274,C1=C(NC=N1)CC(C(=O)O)N,6274,C1=C(NC=N1)CC(C(=O)O)N
DB00118,34755,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,34755,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O
DB00119,1060,CC(=O)C(=O)O,1060,CC(=O)C(=O)O
DB00120,6140,C1=CC=C(C=C1)CC(C(=O)O)N,6140,C1=CC=C(C=C1)CC(C(=O)O)N
DB00121,171548,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,171548,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
DB00122,305,C[N+](C)(C)CCO,305,C[N+](C)(C)CCO
DB00123,5962,C(CCN)CC(C(=O)O)N,5962,C(CCN)CC(C(=O)O)N
DB00125,6322,C(CC(C(=O)O)N)CN=C(N)N,6322,C(CC(C(=O)O)N)CN=C(N)N
DB00126,54670067,C(C(C1C(=C(C(=O)O1)O)O)O)O,54670067,C(C(C1C(=C(C(=O)O1)O)O)O)O
DB00127,1103,C(CCNCCCN)CNCCCN,1103,C(CCNCCCN)CNCCCN
DB00128,5960,C(C(C(=O)O)N)C(=O)O,5960,C(C(C(=O)O)N)C(=O)O
DB00129,6262,C(CC(C(=O)O)N)CN,6262,C(CC(C(=O)O)N)CN
DB00130,5961,C(CC(=O)N)C(C(=O)O)N,5961,C(CC(=O)N)C(C(=O)O)N
